datetime	FF	RG	T	gasPower	gasPower_std	hour	dayofweek	season
2017-03-31 04:00:00	4.856666564941406	0.0	15.0	0.0344085693359375	0.00818029396631253	4	4	2
2017-03-31 05:00:00	5.5	0.0	14.516666412353516	0.06710052490234375	0.011725453925440681	5	4	2
2017-03-31 06:00:00	5.311666965484619	0.0	13.766666412353516	0.31498764500473486	0.1538389021138988	6	4	2
2017-03-31 07:00:00	5.253333568572998	0.0	13.416666984558105	0.8807373046875	0.1898619036766285	7	4	2
2017-03-31 08:00:00	4.943333625793457	0.0	13.716667175292967	1.0965428207859849	0.22350072970082135	8	4	2
2017-03-31 09:00:00	4.795000076293945	0.0	14.68333339691162	0.9562960537997158	0.11778705203099579	9	4	2
2017-03-31 10:00:00	4.865000247955322	0.0	15.93333339691162	0.8688545227050781	0.12787696315921304	10	4	2
2017-03-31 11:00:00	5.815000057220459	0.0	17.950000762939453	0.6060791015625	0.13109376139723075	11	4	2
2017-03-31 12:00:00	6.123332977294923	0.0	18.83333396911621	0.25815559156013257	0.036574078444839765	12	4	2
2017-03-31 13:00:00	6.585000038146973	0.0	19.51666641235352	0.2508831024169922	0.03802779262555872	13	4	2
2017-03-31 14:00:00	7.743333339691162	0.0	18.899999618530273	0.25432586669921875	0.04264882041345571	14	4	2
2017-03-31 15:00:00	7.315000057220459	0.0	16.200000762939453	0.16455650329589844	0.04190156917140927	15	4	2
2017-03-31 16:00:00	5.595000267028809	0.01666666753590107	13.600000381469727	0.20351409912109375	0.03695509641427035	16	4	2
2017-03-31 17:00:00	5.381666660308838	0.0	14.0	0.4749774932861328	0.07938107891662101	17	4	2
2017-03-31 18:00:00	5.353333473205566	0.0	14.016666412353516	0.8921527862548828	0.11904435801371734	18	4	2
2017-03-31 19:00:00	4.835000038146973	0.0	13.199999809265135	0.8512020111083984	0.12283036421016523	19	4	2
2017-03-31 20:00:00	3.4566667079925537	0.0	12.766666412353516	0.8331576260653408	0.15292358100852216	20	4	2
2017-03-31 21:00:00	3.8050000667572017	0.0	11.783333778381348	0.6092140891335227	0.10930247895382465	21	4	2
2017-03-31 22:00:00	3.1083333492279053	0.0	10.866666793823242	0.7345627293442235	0.16870754550460995	22	4	2
2017-03-31 23:00:00	2.115000009536743	0.0	9.43333339691162	0.45867919921875	0.09158012361913224	23	4	2
2017-04-01 00:00:00	2.318333387374878	0.0	8.766666412353517	0.29780994762073865	0.074937656251887	0	5	2
2017-04-01 01:00:00	2.5274999141693115	0.0	8.716667175292969	0.27165268406723486	0.07335247483149639	1	5	2
2017-04-01 02:00:00	1.5740000009536743	0.0	8.420000076293945	0.12689763849431818	0.04538236394018255	2	5	2
2017-04-01 03:00:00	1.5766667127609253	0.0	7.5	0.1727294921875	0.05685254031456099	3	5	2
2017-04-01 04:00:00	1.2616666555404663	0.0	8.350000381469728	0.16926158558238635	0.048018862377954157	4	5	2
2017-04-01 05:00:00	2.406666755676269	0.0	9.56666660308838	0.16937255859375	0.05422328294471976	5	5	2
2017-04-01 06:00:00	1.6783332824707031	0.0	10.483333587646484	0.5131392045454546	0.18905143532557628	6	5	2
2017-04-01 07:00:00	3.721666574478149	0.0	11.333333969116213	0.7129646070075757	0.16569921392747405	7	5	2
2017-04-01 08:00:00	4.2166666984558105	0.0	11.483333587646484	1.5007157759232956	0.2211311693425751	8	5	2
2017-04-01 09:00:00	4.371666431427002	0.01666666753590107	10.983333587646484	2.9234730113636367	0.28908992587874144	9	5	2
2017-04-01 10:00:00	3.2883334159851074	0.28333333134651184	10.850000381469727	1.9768454811789773	0.25730238140422984	10	5	2
2017-04-01 11:00:00	4.0933332443237305	0.20000000298023224	11.283332824707033	1.6286769057765151	0.21977659783241713	11	5	2
2017-04-01 12:00:00	3.2366666793823238	0.0	11.43333339691162	1.3060136274857956	0.1911211138968143	12	5	2
2017-04-01 13:00:00	3.3483333587646484	0.0	12.466667175292967	1.1236849698153408	0.17603546812843784	13	5	2
2017-04-01 14:00:00	3.381666660308838	0.0	12.56666660308838	0.6609182646780303	0.14945691102133102	14	5	2
2017-04-01 15:00:00	2.96500015258789	0.0	13.18333339691162	0.5544674035274622	0.09007287926345894	15	5	2
2017-04-01 16:00:00	2.796666622161865	0.0	13.033333778381348	0.567474365234375	0.08134366172483204	16	5	2
2017-04-01 17:00:00	2.384999990463257	0.0	12.883333206176758	0.9418002041903408	0.1870194672498893	17	5	2
2017-04-01 18:00:00	1.4183332920074463	0.0	12.283333778381348	0.9516721783262311	0.1225629132152211	18	5	2
2017-04-01 19:00:00	1.6116666793823242	0.0	11.649999618530273	1.6147994995117188	0.18912646297249405	19	5	2
